GLNo,Find
GL073656/20,TRUE
GL075790/21,TRUE
GL076421/21,TRUE
GL075005/20,TRUE
GL076008/21,TRUE
GL076577/21,TRUE
GL073393/20,TRUE
GL076485/21,TRUE
GL074118/20,TRUE
GL075456/20,TRUE
GL073152/20,TRUE
GL076272/21,TRUE
GL072903/20,TRUE
GL071921/20,TRUE
GL076581/21,TRUE
GL075153/20,TRUE
GL076343/21,TRUE
GL075990/21,TRUE
GL073963/20,TRUE
GL074590/20,TRUE
GL074643/20,TRUE
GL076212/21,TRUE
GL073780/20,TRUE
GL073945/20,TRUE
GL074787/20,TRUE
GL075542/20,TRUE
GL076596/21,TRUE
GL076573/21,TRUE
GL075982/21,TRUE
GL075988/21,TRUE
GL076357/21,TRUE
GL076574/21,TRUE
GL076467/21,TRUE
GL072811/20,TRUE
GL075957/21,TRUE
GL075786/21,TRUE
GL075062/20,TRUE
GL074660/20,TRUE
GL076612/21,TRUE
GL071667/20,TRUE
GL075547/20,TRUE
GL073726/20,TRUE
GL076444/21,TRUE
GL076135/21,TRUE
GL075182/20,TRUE
GL070367/19,TRUE
GL076128/21,TRUE
GL075877/21,TRUE
GL072958/20,TRUE
GL076390/21,TRUE
GL076602/21,TRUE
GL076693/21,TRUE
GL075801/21,TRUE
GL076642/21,TRUE
GL073882/20,TRUE
GL076576/21,TRUE
GL074427/20,TRUE
GL076644/21,TRUE
GL075237/20,TRUE
GL075863/21,TRUE
GL073327/20,TRUE
GL072124/20,TRUE
GL076616/21,TRUE
GL076319/21,TRUE
GL076528/21,TRUE
GL076009/21,TRUE
GL074826/20,TRUE
GL075224/20,TRUE
GL074834/20,TRUE
GL076274/21,TRUE
GL075780/21,TRUE
GL074500/20,TRUE
GL073308/20,TRUE
GL074115/20,TRUE
GL076202/21,TRUE
GL075878/21,TRUE
GL075635/21,TRUE
GL072143/20,TRUE
GL076405/21,TRUE
GL076457/21,TRUE
GL075759/21,TRUE
GL072304/20,TRUE
GL071079/19,TRUE
GL076684/21,TRUE
GL075300/20,TRUE
GL075926/21,TRUE
GL076652/21,TRUE
GL074117/20,TRUE
GL073379/20,TRUE
GL073864/20,TRUE
GL070515/19,TRUE
GL075430/20,TRUE
GL074893/20,TRUE
GL074890/20,TRUE
GL073191/20,TRUE
GL074037/20,TRUE
GL075839/21,TRUE
GL076077/21,TRUE
GL075176/20,TRUE
GL076469/21,TRUE
GL075249/20,TRUE
GL074194/20,TRUE
GL076669/21,TRUE
GL076131/21,TRUE
GL071139/19,TRUE
GL076471/21,TRUE
GL072992/20,TRUE
GL076590/21,TRUE
GL074867/20,TRUE
GL076704/21,TRUE
GL076122/21,TRUE
GL075664/21,TRUE
GL076567/21,TRUE
GL075505/20,TRUE
GL072717/20,TRUE
GL075701/21,TRUE
GL075734/21,TRUE
GL073764/20,TRUE
GL072053/20,TRUE
GL076434/21,TRUE
GL074110/20,TRUE
GL072763/20,TRUE
GL076627/21,TRUE
GL072534/20,TRUE
GL076747/21,TRUE
GL076737/21,TRUE
GL076384/21,TRUE
GL074627/20,TRUE
GL076359/21,TRUE
GL074530/20,TRUE
GL073598/20,TRUE
GL076720/21,TRUE
GL074122/20,TRUE
GL073547/20,TRUE
GL070497/19,TRUE
GL076358/21,TRUE
GL076774/21,TRUE
GL066763/19,TRUE
GL060775/18,TRUE
GL069276/19,TRUE
GL067924/19,TRUE
GL063394/18,TRUE
GL067549/19,TRUE
GL068608/19,TRUE
GL067367/19,TRUE
GL076216/21,TRUE
GL076618/21,TRUE
GL073602/20,TRUE
GL076546/21,TRUE
GL070524/19,TRUE
GL073817/20,TRUE
